title,release_year_x,description,type,rating,runtime,imdb_rating,genre,director,stars,gross,release_year_y,Certificate,Runtime,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,Gross,year,date,production budget
Home Alone,1990.0,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas eve.",Movie,PG,103.0,7.7,"Comedy, Family",Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, ",285760000.0,1990,U,103 min,"Comedy, Family",7.6,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,63.0,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard,"285,761,243",1990.0,"Nov 16, 1990",15000000
It's a Wonderful Life,1946.0,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Movie,PG,130.0,8.6,"Drama, Family, Fantasy",Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, ",12200000.0,1946,PG,130 min,"Drama, Family, Fantasy",8.6,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,89.0,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,,1946.0,"Dec 20, 1946",3180000
Die Hard,1988.0,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,Movie,R,132.0,8.2,"Action, Thriller",John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson, ",83010000.0,1988,A,132 min,"Action, Thriller",8.2,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,72.0,John McTiernan,Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson,"83,008,852",1988.0,"Jul 15, 1988",28000000
Klaus,2019.0,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Movie,PG,96.0,8.1,"Animation, Adventure, Comedy",Sergio Pablos,"Carlos Martínez López, Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso, ",,2019,PG,96 min,"Animation, Adventure, Comedy",8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",65.0,Sergio Pablos,Carlos Martínez López,Jason Schwartzman,J.K. Simmons,Rashida Jones,,2019.0,"Nov 8, 2019",40000000
The Muppet Christmas Carol,1992.0,The Muppets present their own touching rendition of Charles Dickens' classic tale.,Movie,G,85.0,7.7,"Comedy, Drama, Family",Brian Henson,"Michael Caine, Dave Goelz, Steve Whitmire, Jerry Nelson, ",27280000.0,1992,G,85 min,"Comedy, Drama, Family",7.7,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,64.0,Brian Henson,Michael Caine,Kermit the Frog,Dave Goelz,Miss Piggy,"27,281,507",1992.0,"Dec 11, 1992",12000000
Edward Scissorhands,1990.0,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",Movie,PG-13,105.0,7.9,"Drama, Fantasy, Romance",Tim Burton,"Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall, ",56360000.0,1990,U,105 min,"Drama, Fantasy, Romance",7.9,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",74.0,Tim Burton,Johnny Depp,Winona Ryder,Dianne Wiest,Anthony Michael Hall,"56,362,352",1990.0,"Dec 7, 1990",20000000
Little Women,2019.0,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Movie,PG,135.0,7.8,"Drama, Romance",Greta Gerwig,"Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen, ",108100000.0,2019,U,135 min,"Drama, Romance",7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",91.0,Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,"108,101,214",2019.0,"Dec 25, 2019",42000000
Little Women,2019.0,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Movie,PG,135.0,7.8,"Drama, Romance",Greta Gerwig,"Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen, ",108100000.0,2019,U,135 min,"Drama, Romance",7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",91.0,Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,"108,101,214",1994.0,"Dec 21, 1994",15000000
Little Women,1994.0,The March sisters live and grow in post-Civil War America.,Movie,PG,115.0,7.3,"Drama, Family, Romance",Gillian Armstrong,"Susan Sarandon, Winona Ryder, Kirsten Dunst, Claire Danes, ",50080000.0,2019,U,135 min,"Drama, Romance",7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",91.0,Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,"108,101,214",2019.0,"Dec 25, 2019",42000000
Little Women,1994.0,The March sisters live and grow in post-Civil War America.,Movie,PG,115.0,7.3,"Drama, Family, Romance",Gillian Armstrong,"Susan Sarandon, Winona Ryder, Kirsten Dunst, Claire Danes, ",50080000.0,2019,U,135 min,"Drama, Romance",7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",91.0,Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,"108,101,214",1994.0,"Dec 21, 1994",15000000
