age,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
40,1.4,93.918,-42.7,4.96,5228.1
31,-1.8,92.893,-46.2,1.244,5099.1
59,-1.8,92.893,-46.2,1.354,5099.1
43,1.4,93.918,-42.7,4.961,5228.1
39,1.1,93.994,-36.4,4.86,5191.0
33,-1.8,93.075,-47.1,1.405,5099.1
35,-1.8,92.893,-46.2,1.354,5099.1
36,1.1,93.994,-36.4,4.857,5191.0
36,1.1,93.994,-36.4,4.857,5191.0
28,1.4,93.918,-42.7,4.962,5228.1
47,-0.1,93.2,-42.0,4.153,5195.8
50,-0.1,93.2,-42.0,4.076,5195.8
39,1.4,94.465,-41.8,4.864,5228.1
48,1.1,93.994,-36.4,4.859,5191.0
52,1.4,93.918,-42.7,4.963,5228.1
43,-2.9,92.963,-40.8,1.262,5076.2
36,-1.8,93.369,-34.8,0.654,5008.7
33,-0.1,93.2,-42.0,4.12,5195.8
35,1.4,93.918,-42.7,4.962,5228.1
54,-1.8,93.075,-47.1,1.365,5099.1
32,1.1,93.994,-36.4,4.856,5191.0
32,-1.8,92.893,-46.2,1.281,5099.1
36,-2.9,92.963,-40.8,1.252,5076.2
33,1.4,94.465,-41.8,4.959,5228.1
28,-1.8,93.075,-47.1,1.405,5099.1
32,-1.8,92.893,-46.2,1.299,5099.1
26,-1.8,92.893,-46.2,1.327,5099.1
38,1.1,93.994,-36.4,4.857,5191.0
34,-1.8,92.893,-46.2,1.313,5099.1
34,-1.8,92.893,-46.2,1.281,5099.1
54,-0.1,93.2,-42.0,4.153,5195.8
23,-1.8,92.893,-46.2,1.266,5099.1
31,-0.1,93.2,-42.0,4.021,5195.8
82,-1.8,93.749,-34.6,0.638,5008.7
34,1.4,93.918,-42.7,4.961,5228.1
24,1.4,93.918,-42.7,4.963,5228.1
33,-1.8,93.075,-47.1,1.405,5099.1
45,-0.1,93.2,-42.0,4.021,5195.8
46,-1.8,92.893,-46.2,1.334,5099.1
37,1.1,93.994,-36.4,4.855,5191.0
43,1.4,94.465,-41.8,4.967,5228.1
25,1.1,93.994,-36.4,4.859,5191.0
28,-3.4,92.649,-30.1,0.716,5017.5
33,1.4,93.918,-42.7,4.96,5228.1
52,-0.1,93.2,-42.0,4.153,5195.8
25,-3.4,92.649,-30.1,0.714,5017.5
40,1.4,93.444,-36.1,4.964,5228.1
36,1.1,93.994,-36.4,4.86,5191.0
47,1.4,94.465,-41.8,4.865,5228.1
89,-1.1,94.199,-37.5,0.881,4963.6
36,-2.9,92.201,-31.4,0.849,5076.2
50,-0.1,93.2,-42.0,4.153,5195.8
41,-0.1,93.2,-42.0,4.076,5195.8
45,1.4,93.444,-36.1,4.964,5228.1
31,1.1,93.994,-36.4,4.858,5191.0
22,-3.4,92.431,-26.9,0.742,5017.5
24,-1.8,92.893,-46.2,1.299,5099.1
31,-0.1,93.2,-42.0,4.191,5195.8
57,1.4,93.444,-36.1,4.964,5228.1
58,-1.8,92.893,-46.2,1.313,5099.1
31,1.4,93.444,-36.1,4.963,5228.1
53,1.1,93.994,-36.4,4.86,5191.0
36,-1.8,92.893,-46.2,1.327,5099.1
51,1.4,94.465,-41.8,4.961,5228.1
34,1.4,94.465,-41.8,4.961,5228.1
41,1.4,94.465,-41.8,4.967,5228.1
29,-1.8,92.893,-46.2,1.291,5099.1
85,-1.8,93.749,-34.6,0.642,5008.7
32,-2.9,92.201,-31.4,0.881,5076.2
58,-0.1,93.2,-42.0,4.021,5195.8
43,1.4,93.918,-42.7,4.962,5228.1
31,-0.1,93.2,-42.0,4.021,5195.8
30,-0.1,93.2,-42.0,4.021,5195.8
39,1.1,93.994,-36.4,4.855,5191.0
50,1.1,93.994,-36.4,4.86,5191.0
52,1.1,93.994,-36.4,4.855,5191.0
62,-1.7,94.215,-40.3,0.827,4991.6
56,1.4,94.465,-41.8,4.959,5228.1
36,1.1,93.994,-36.4,4.86,5191.0
30,-0.1,93.2,-42.0,4.153,5195.8
35,-3.4,92.649,-30.1,0.714,5017.5
41,-1.8,92.893,-46.2,1.327,5099.1
53,1.4,93.918,-42.7,4.962,5228.1
50,-0.1,93.2,-42.0,4.245,5195.8
34,-1.8,92.893,-46.2,1.281,5099.1
42,1.1,93.994,-36.4,4.856,5191.0
47,1.4,93.918,-42.7,4.96,5228.1
40,-0.1,93.2,-42.0,4.12,5195.8
30,1.4,94.465,-41.8,4.961,5228.1
65,-1.1,94.601,-49.5,0.965,4963.6
50,-0.1,93.2,-42.0,4.153,5195.8
36,-1.8,92.893,-46.2,1.299,5099.1
47,-0.1,93.2,-42.0,4.191,5195.8
56,1.1,93.994,-36.4,4.857,5191.0
31,1.4,93.444,-36.1,4.964,5228.1
56,1.4,93.918,-42.7,4.968,5228.1
32,1.4,93.918,-42.7,4.963,5228.1
40,1.1,93.994,-36.4,4.858,5191.0
58,1.4,94.465,-41.8,4.864,5228.1
32,1.4,93.918,-42.7,4.957,5228.1
44,1.1,93.994,-36.4,4.856,5191.0
33,1.1,93.994,-36.4,4.86,5191.0
31,-1.8,93.075,-47.1,1.41,5099.1
28,-1.8,92.893,-46.2,1.281,5099.1
32,-1.8,92.893,-46.2,1.266,5099.1
39,1.4,93.918,-42.7,4.96,5228.1
29,-1.8,92.893,-46.2,1.266,5099.1
36,-1.8,92.893,-46.2,1.281,5099.1
33,-1.8,92.893,-46.2,1.25,5099.1
50,1.1,93.994,-36.4,4.86,5191.0
35,1.4,93.918,-42.7,4.96,5228.1
49,1.1,93.994,-36.4,4.856,5191.0
51,-1.8,92.893,-46.2,1.281,5099.1
31,1.4,93.444,-36.1,4.963,5228.1
33,-1.8,92.893,-46.2,1.291,5099.1
36,1.4,93.918,-42.7,4.968,5228.1
60,1.4,93.444,-36.1,4.966,5228.1
31,1.4,93.918,-42.7,4.961,5228.1
31,-0.1,93.2,-42.0,4.021,5195.8
47,1.4,93.918,-42.7,4.957,5228.1
42,-2.9,92.963,-40.8,1.26,5076.2
32,1.4,93.918,-42.7,4.968,5228.1
31,-1.8,93.075,-47.1,1.405,5099.1
34,1.1,93.994,-36.4,4.864,5191.0
30,1.1,93.994,-36.4,4.864,5191.0
